127.0.0.1, 2015-07-30 15:16:08, GET, /, HTTP/1.1, 303, 0.023777
127.0.0.1, 2015-07-30 15:16:17, GET, /welcome/default/index, HTTP/1.1, 200, 9.118183
127.0.0.1, 2015-07-30 15:17:28, GET, /, HTTP/1.1, 303, 0.043661
127.0.0.1, 2015-07-30 15:17:31, GET, /welcome/default/index, HTTP/1.1, 200, 2.650489
127.0.0.1, 2015-07-30 15:17:34, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.017623
127.0.0.1, 2015-07-30 15:17:34, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.088211
127.0.0.1, 2015-07-30 15:17:34, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.074312
127.0.0.1, 2015-07-30 15:17:34, GET, /welcome/static/css/bootstrap-theme.min.css, HTTP/1.1, 200, 0.170838
127.0.0.1, 2015-07-30 15:17:34, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.128820
127.0.0.1, 2015-07-30 15:17:35, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.037293
127.0.0.1, 2015-07-30 15:17:36, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.040599
127.0.0.1, 2015-07-30 15:17:36, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.014518
127.0.0.1, 2015-07-30 15:17:36, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.046795
127.0.0.1, 2015-07-30 15:17:36, GET, /welcome/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.061321
127.0.0.1, 2015-07-30 15:17:38, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.033753
127.0.0.1, 2015-07-30 15:17:44, GET, /welcome/static/images/background.jpg, HTTP/1.1, 200, 0.069527
127.0.0.1, 2015-07-30 15:17:47, GET, /welcome/static/fonts/glyphicons-halflings-regular.woff, HTTP/1.1, 200, 0.043587
127.0.0.1, 2015-07-30 15:17:47, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.053647
127.0.0.1, 2015-07-30 15:17:47, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.026766
127.0.0.1, 2015-07-30 15:17:48, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.054558
127.0.0.1, 2015-07-30 15:18:09, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.040404
127.0.0.1, 2015-07-30 15:26:46, GET, /admin/default/index, HTTP/1.1, 200, 6.351510
127.0.0.1, 2015-07-30 15:26:48, GET, /admin/static/_2.11.2/js/jquery.js, HTTP/1.1, 200, 0.059695
127.0.0.1, 2015-07-30 15:26:48, GET, /admin/static/_2.11.2/css/calendar.css, HTTP/1.1, 200, 0.062469
127.0.0.1, 2015-07-30 15:26:48, GET, /admin/static/_2.11.2/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.086220
127.0.0.1, 2015-07-30 15:26:48, GET, /admin/static/_2.11.2/js/web2py.js, HTTP/1.1, 200, 0.007036
127.0.0.1, 2015-07-30 15:26:48, GET, /admin/static/_2.11.2/js/calendar.js, HTTP/1.1, 200, 0.121670
127.0.0.1, 2015-07-30 15:26:48, GET, /admin/static/_2.11.2/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.049938
127.0.0.1, 2015-07-30 15:26:48, GET, /admin/static/_2.11.2/plugin_multiselect/start.js, HTTP/1.1, 200, 0.017410
127.0.0.1, 2015-07-30 15:26:49, GET, /admin/static/_2.11.2/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.047107
127.0.0.1, 2015-07-30 15:26:49, GET, /admin/static/_2.11.2/css/bootstrap.min.css, HTTP/1.1, 200, 0.033615
127.0.0.1, 2015-07-30 15:26:49, GET, /admin/static/_2.11.2/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.037185
127.0.0.1, 2015-07-30 15:26:49, GET, /admin/static/_2.11.2/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.037243
